0,1,2
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,188.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,210.0
4,10,209.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,208.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,202.0
5,14,202.0
5,15,202.0
5,16,199.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,203.0
6,11,199.0
6,12,201.0
6,13,205.0
6,14,205.0
6,15,202.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,225.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
6,27,0.0
6,28,0.0
6,29,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,201.0
7,8,203.0
7,9,202.0
7,10,200.0
7,11,199.0
7,12,203.0
7,13,209.0
7,14,210.0
7,15,209.0
7,16,0.0
7,17,0.0
7,18,207.0
7,19,205.0
7,20,199.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
7,27,0.0
7,28,0.0
7,29,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,201.0
8,7,200.0
8,8,202.0
8,9,203.0
8,10,197.0
8,11,198.0
8,12,202.0
8,13,206.0
8,14,210.0
8,15,209.0
8,16,208.0
8,17,208.0
8,18,209.0
8,19,205.0
8,20,199.0
8,21,198.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
8,27,0.0
8,28,0.0
8,29,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,202.0
9,8,202.0
9,9,199.0
9,10,197.0
9,11,206.0
9,12,206.0
9,13,209.0
9,14,209.0
9,15,209.0
9,16,209.0
9,17,210.0
9,18,209.0
9,19,0.0
9,20,203.0
9,21,201.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
9,27,0.0
9,28,0.0
9,29,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,212.0
10,8,208.0
10,9,203.0
10,10,201.0
10,11,207.0
10,12,207.0
10,13,208.0
10,14,209.0
10,15,209.0
10,16,211.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,202.0
10,21,205.0
10,22,205.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
10,27,0.0
10,28,0.0
10,29,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,216.0
11,7,216.0
11,8,212.0
11,9,210.0
11,10,204.0
11,11,205.0
11,12,207.0
11,13,208.0
11,14,209.0
11,15,208.0
11,16,215.0
11,17,212.0
11,18,0.0
11,19,0.0
11,20,207.0
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
11,27,0.0
11,28,0.0
11,29,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,211.0
12,8,207.0
12,9,206.0
12,10,207.0
12,11,207.0
12,12,208.0
12,13,209.0
12,14,207.0
12,15,205.0
12,16,205.0
12,17,209.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,207.0
12,22,208.0
12,23,208.0
12,24,208.0
12,25,0.0
12,26,0.0
12,27,0.0
12,28,0.0
12,29,0.0
13,0,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,207.0
13,8,205.0
13,9,207.0
13,10,208.0
13,11,208.0
13,12,209.0
13,13,208.0
13,14,206.0
13,15,205.0
13,16,208.0
13,17,211.0
13,18,0.0
13,19,0.0
13,20,216.0
13,21,0.0
13,22,211.0
13,23,209.0
13,24,207.0
13,25,0.0
13,26,0.0
13,27,0.0
13,28,0.0
13,29,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,206.0
14,8,205.0
14,9,208.0
14,10,0.0
14,11,210.0
14,12,210.0
14,13,208.0
14,14,206.0
14,15,208.0
14,16,209.0
14,17,210.0
14,18,208.0
14,19,219.0
14,20,220.0
14,21,0.0
14,22,210.0
14,23,208.0
14,24,208.0
14,25,211.0
14,26,0.0
14,27,0.0
14,28,0.0
14,29,0.0
15,0,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,209.0
15,9,206.0
15,10,208.0
15,11,210.0
15,12,210.0
15,13,208.0
15,14,207.0
15,15,208.0
15,16,210.0
15,17,208.0
15,18,211.0
15,19,0.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,205.0
15,24,207.0
15,25,0.0
15,26,0.0
15,27,0.0
15,28,0.0
